,Year,Country,Population
217,1961,LAO,2170344.0
218,1961,KOR,25765673.0
219,1961,PRK,11665595.0
220,1961,MOZ,7342111.0
221,1961,SEN,3295278.0
222,1961,CPV,205327.0
223,1961,CZE,9586651.0
224,1961,BOL,3728964.0
225,1961,AND,14375.0
226,1961,HKG,3168100.0
227,1961,LCA,90716.0
228,1961,FSM,45932.0
229,1961,COD,15637699.0
230,1961,MLI,5322266.0
231,1961,STP,64602.0
232,1961,MKD,1507654.0
233,1961,LIE,16893.0
234,1961,MNE,491140.0
235,1961,ALB,1659800.0
236,1961,SWZ,343345.0
237,1961,BDI,2852438.0
238,1961,NRU,4632.0
239,1961,VNM,33666110.0
240,1961,MHL,15051.0
241,1961,KIR,42229.0
242,1961,TUV,5335.0
243,1961,SSD,2895605.0
244,1962,CHN,665770000.0
245,1962,FIN,4491443.0
246,1962,ROU,18676550.0
247,1962,NOR,3638918.0
248,1962,EST,1241623.0
249,1962,FRA,47904877.0
250,1962,ESP,31023366.0
251,1962,EGY,28112256.0
252,1962,ITA,50879450.0
253,1962,AZE,4171426.0
254,1962,RUS,122591000.0
255,1962,ARG,21153052.0
256,1962,CUB,7453540.0
257,1962,BLR,8351928.0
258,1962,CMR,5398729.0
259,1962,MEX,40195319.0
260,1962,USA,186538000.0
261,1962,HUN,10061734.0
262,1962,BRN,89481.0
263,1962,PAK,47198878.0
264,1962,IRQ,7674220.0
265,1962,QAT,56262.0
266,1962,CAN,18614000.0
267,1962,IRL,2836050.0
268,1962,AUS,10742000.0
269,1962,MAR,13094888.0
270,1962,ERI,1060486
271,1962,JOR,1010658.0
272,1962,TUN,4305481.0
273,1962,BEL,9220578.0
274,1962,DJI,94204.0
275,1962,COM,197198.0
276,1962,KAZ,10756928.0
277,1962,MDV,94905.0
278,1962,ETH,23221389.0
279,1962,UZB,9113620.0
280,1962,KGZ,2333400.0
281,1962,TJK,2236574.0
282,1962,JPN,95832000.0
283,1962,BRA,76514328.0
284,1962,ISR,2293000.0
285,1962,SWE,7561588.0
286,1962,TUR,28832827.0
287,1962,ARM,2009526.0
288,1962,CIV,3770766.0
289,1962,KEN,8647011.0
290,1962,BEN,2502896.0
291,1962,GHA,7071971.0
292,1962,SOM,2874218.0
293,1962,SYR,4875422.0
294,1962,GBR,53250000.0
295,1962,CHI,111457.0
