,Year,Country,Population,GDP
69,1960,PLW,9771.0,..
70,1960,LTU,2778550.0,..
71,1960,NAM,634142.0,..
72,1960,UKR,42664652.0,..
73,1960,ISL,175574.0,248434097.0
74,1960,AUT,7047539.0,6592693841.0
75,1960,RWA,2935582.0,119000024.0
76,1960,DMA,60011.0,..
77,1960,MLT,326550.0,..
78,1960,LUX,313970.0,703925705.9
79,1960,CYP,572930.0,..
80,1960,SGP,1646400.0,704756304.7
81,1960,SLE,2317636.0,322009471.6
82,1960,PNG,2255859.0,230496033.0
83,1960,AFG,8996973.0,537777811.1
84,1960,YEM,5315355.0,..
85,1960,MDA,2544000.0,..
86,1960,SRB,..,..
87,1960,CAF,1501668.0,112155598.9
88,1960,BIH,3225668.0,..
89,1960,GUM,66742.0,..
90,1960,SVK,4068095.0,..
91,1960,THA,27397207.0,2760747472.0
92,1960,TLS,474532.0,..
93,1960,GAB,500928.0,141468977.6
94,1960,SMR,15432.0,..
95,1960,LAO,2120898.0,..
96,1960,KOR,25012374.0,3957240261.0
97,1960,PRK,11424176.0,..
98,1960,MOZ,7184869.0,..
99,1960,SEN,3206749.0,1003692375
100,1960,CPV,201765.0,..
101,1960,CZE,9602006.0,..
102,1960,BOL,3656955.0,373879363.6
103,1960,AND,13411.0,..
104,1960,HKG,3075605.0,1320796652.0
105,1960,LCA,89697.0,..
106,1960,FSM,44514.0,..
107,1960,COD,15248251.0,3359404118
108,1960,MLI,5263733.0,..
109,1960,STP,64302.0,..
110,1960,MKD,1488667.0,..
111,1960,LIE,16493.0,..
112,1960,MNE,480579.0,..
113,1960,ALB,1608800.0,..
114,1960,SWZ,336583.0,35076158.48
115,1960,BDI,2797932.0,195999990.0
116,1960,NRU,4375.0,..
117,1960,VNM,32670039.0,..
118,1960,MHL,14662.0,..
119,1960,KIR,41202.0,..
120,1960,TUV,5323.0,..
121,1960,SSD,2842724.0,..
122,1961,CHN,660330000.0,50056868958.0
123,1961,FIN,4461005.0,5921659485.0
124,1961,ROU,18555250.0,..
125,1961,NOR,3609800.0,5632460937.0
126,1961,EST,1225077.0,..
127,1961,FRA,47240543.0,68346741504.0
128,1961,ESP,30739250.0,13834300571.0
129,1961,EGY,27366237.0,..
130,1961,ITA,50536350.0,44842760293.0
131,1961,AZE,4030322.0,..
132,1961,RUS,121236000.0,..
133,1961,ARG,20817266.0,..
134,1961,CUB,7291200.0,..
135,1961,BLR,8271216.0,..
136,1961,CMR,5285017.0,657597382.8
137,1961,MEX,38966056.0,14160000000.0
138,1961,USA,183691000.0,563000000000.0
139,1961,HUN,10029321.0,..
140,1961,BRN,85562.0,..
141,1961,PAK,46065231.0,4054599181.0
142,1961,IRQ,7475350.0,1831700364
143,1961,QAT,51421.0,..
144,1961,CAN,18271000.0,41555987615
145,1961,IRL,2824400.0,2088012282.0
146,1961,AUS,10483000.0,19653936611.0
147,1961,MAR,12710581.0,2025689537.0
148,1961,ERI,1033328,..
149,1961,JOR,973988.0,..
150,1961,TUN,4238142.0,..
151,1961,BEL,9183948.0,12400145222.0
152,1961,DJI,88498.0,..
153,1961,COM,194139.0,..
154,1961,KAZ,10349414.0,..
155,1961,MDV,92325.0,..
156,1961,ETH,22671191.0,..
157,1961,UZB,8813616.0,..
158,1961,KGZ,2255900.0,..
159,1961,TJK,2159134.0,..
160,1961,JPN,94943000.0,53508617739.0
161,1961,BRA,74311343.0,15236854859.0
162,1961,ISR,2185000.0,3138500000.0
163,1961,SWE,7519998.0,16147160123.0
164,1961,TUR,28146910.0,7988888889.0
